sample_id,dataset,filepath,filename,original_label,unified_label,split,fold
FSD50K_041389,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\76602.wav,76602.wav,"['Female_singing', 'Singing', 'Human_voice']",Human,train,
FSD50K_027663,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\41135.wav,41135.wav,"['Rain', 'Water']",Water,train,
ESC50_000709,ESC50,datasets\ESC50\audio\2-72688-A-42.wav,2-72688-A-42.wav,['siren'],EmergencyVehicle,train,2.0
FSD50K_047965,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\102841.wav,102841.wav,"['Boat_and_Water_vehicle', 'Vehicle']",Vehicle,train,
BirdCLEF2026_077673,BirdCLEF2026,datasets\BirdCLEF\birdclef-2026\train_audio\saytan1\XC660599.ogg,XC660599.ogg,['Aves'],Bird,train,
FSD50K_041405,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\175469.wav,175469.wav,"['Female_singing', 'Singing', 'Human_voice']",Human,train,
Animals_089925,Animals,datasets\Animals\Animal-SDataset\Sheep\koyun_18.wav,koyun_18.wav,['Sheep'],Wildlife,train,
FSD50K_030274,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\22591.wav,22591.wav,"['Train', 'Rail_transport', 'Vehicle']",Vehicle,train,
FSD50K_027772,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\84683.wav,84683.wav,"['Rain', 'Water']",Water,train,
FSD50K_051366,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\103426.wav,103426.wav,"['Livestock_and_farm_animals_and_working_animals', 'Animal']",Wildlife,train,
FSD50K_050413,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\19024.wav,19024.wav,"['Accelerating_and_revving_and_vroom', 'Engine']",Vehicle,train,
FSD50K_030176,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\222584.wav,222584.wav,"['Screaming', 'Human_voice']",Human,train,
UrbanSound8K_006233,UrbanSound8K,datasets\urbansound8k\Extracted\UrbanSound8K\audio\fold10\180127-4-0-5.wav,180127-4-0-5.wav,['drilling'],Drill,train,10.0
