sample_id,dataset,filepath,error
FSD50K_020022,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\137608.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\137608.wav
FSD50K_020023,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\137610.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\137610.wav
FSD50K_020024,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\137613.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\137613.wav
FSD50K_020025,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\137615.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\137615.wav
FSD50K_020026,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\137619.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\137619.wav
FSD50K_020027,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\137620.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\137620.wav
FSD50K_020028,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\137621.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\137621.wav
FSD50K_020029,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\137622.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\137622.wav
FSD50K_020030,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\137623.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\137623.wav
FSD50K_020031,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\137624.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\137624.wav
FSD50K_020032,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\137626.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\137626.wav
FSD50K_020033,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\404892.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\404892.wav
FSD50K_020034,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\137629.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\137629.wav
FSD50K_020035,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\137630.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\137630.wav
FSD50K_020036,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\137631.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\137631.wav
FSD50K_020037,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\137632.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\137632.wav
FSD50K_020038,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\404894.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\404894.wav
FSD50K_020039,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\137634.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\137634.wav
FSD50K_020040,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\137635.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\137635.wav
FSD50K_020041,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\137636.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\137636.wav
FSD50K_020042,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\422.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\422.wav
FSD50K_020043,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\137639.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\137639.wav
FSD50K_020044,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\421.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\421.wav
FSD50K_020045,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\425.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\425.wav
FSD50K_020046,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\426.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\426.wav
FSD50K_020047,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\137641.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\137641.wav
FSD50K_020048,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\423.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\423.wav
FSD50K_020049,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\137645.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\137645.wav
FSD50K_020050,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\137646.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\137646.wav
FSD50K_020051,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\137647.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\137647.wav
FSD50K_020052,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\137648.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\137648.wav
FSD50K_020053,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\424.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\424.wav
FSD50K_020054,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\137650.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\137650.wav
FSD50K_020055,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\137651.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\137651.wav
FSD50K_020056,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\137653.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\137653.wav
FSD50K_020057,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\137654.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\137654.wav
FSD50K_020058,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\140521.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\140521.wav
FSD50K_020059,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\137656.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\137656.wav
FSD50K_020060,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\137657.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\137657.wav
FSD50K_020061,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\140522.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\140522.wav
FSD50K_020062,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\138684.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\138684.wav
FSD50K_020063,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\137661.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\137661.wav
FSD50K_020064,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\140523.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\140523.wav
FSD50K_020065,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\137665.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\137665.wav
FSD50K_020066,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\137666.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\137666.wav
FSD50K_020067,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\138691.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\138691.wav
FSD50K_020068,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\137668.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\137668.wav
FSD50K_020069,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\140524.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\140524.wav
FSD50K_020070,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\137670.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\137670.wav
FSD50K_020071,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\137671.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\137671.wav
FSD50K_020072,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\137672.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\137672.wav
FSD50K_020073,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\137673.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\137673.wav
FSD50K_020074,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\140525.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\140525.wav
FSD50K_020075,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\137675.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\137675.wav
FSD50K_020076,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\138692.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\138692.wav
FSD50K_020077,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\137677.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\137677.wav
FSD50K_020078,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\137678.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\137678.wav
FSD50K_020079,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\137679.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\137679.wav
FSD50K_020080,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\140526.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\140526.wav
FSD50K_020081,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\137681.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\137681.wav
FSD50K_020082,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\138694.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\138694.wav
FSD50K_020083,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\138699.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\138699.wav
FSD50K_020084,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\137684.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\137684.wav
FSD50K_020085,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\137685.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\137685.wav
FSD50K_020086,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\138701.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\138701.wav
FSD50K_020087,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\138696.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\138696.wav
FSD50K_020088,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\137688.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\137688.wav
FSD50K_020089,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\137689.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\137689.wav
FSD50K_020090,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\137690.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\137690.wav
FSD50K_020091,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\140528.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\140528.wav
FSD50K_020092,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\140529.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\140529.wav
FSD50K_020093,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\138710.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\138710.wav
FSD50K_020094,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\138712.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\138712.wav
FSD50K_020095,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\138716.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\138716.wav
FSD50K_020096,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\138719.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\138719.wav
FSD50K_020097,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\138722.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\138722.wav
FSD50K_020098,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\138723.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\138723.wav
FSD50K_020099,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\36325.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\36325.wav
FSD50K_020100,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\138726.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\138726.wav
FSD50K_020101,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\140531.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\140531.wav
FSD50K_020102,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\138727.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\138727.wav
FSD50K_020103,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\138728.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\138728.wav
FSD50K_020104,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\138700.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\138700.wav
FSD50K_020105,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\140532.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\140532.wav
FSD50K_020106,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\138731.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\138731.wav
FSD50K_020107,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\138735.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\138735.wav
FSD50K_020108,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\140533.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\140533.wav
FSD50K_020109,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\138737.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\138737.wav
FSD50K_020110,FSD50K,datasets\FSD50K\Extracted\FSD50K.dev_audio\138739.wav,Unable to read audio file: datasets\FSD50K\Extracted\FSD50K.dev_audio\138739.wav
