sample_id,dataset,filepath,filename,original_label,unified_label,split,fold
ESC50_000000,ESC50,datasets\ESC50\audio\1-100032-A-0.wav,1-100032-A-0.wav,['dog'],Wildlife,train,1.0
ESC50_000001,ESC50,datasets\ESC50\audio\1-100038-A-14.wav,1-100038-A-14.wav,['chirping_birds'],Bird,train,1.0
ESC50_000004,ESC50,datasets\ESC50\audio\1-101296-A-19.wav,1-101296-A-19.wav,['thunderstorm'],Thunderstorm,train,1.0
ESC50_000005,ESC50,datasets\ESC50\audio\1-101296-B-19.wav,1-101296-B-19.wav,['thunderstorm'],Thunderstorm,train,1.0
ESC50_000008,ESC50,datasets\ESC50\audio\1-103298-A-9.wav,1-103298-A-9.wav,['crow'],Bird,train,1.0
ESC50_000011,ESC50,datasets\ESC50\audio\1-104089-A-22.wav,1-104089-A-22.wav,['clapping'],Speech,train,1.0
ESC50_000012,ESC50,datasets\ESC50\audio\1-104089-B-22.wav,1-104089-B-22.wav,['clapping'],Speech,train,1.0
ESC50_000013,ESC50,datasets\ESC50\audio\1-105224-A-22.wav,1-105224-A-22.wav,['clapping'],Speech,train,1.0
ESC50_000014,ESC50,datasets\ESC50\audio\1-110389-A-0.wav,1-110389-A-0.wav,['dog'],Wildlife,train,1.0
ESC50_000015,ESC50,datasets\ESC50\audio\1-110537-A-22.wav,1-110537-A-22.wav,['clapping'],Speech,train,1.0
ESC50_000016,ESC50,datasets\ESC50\audio\1-115521-A-19.wav,1-115521-A-19.wav,['thunderstorm'],Thunderstorm,train,1.0
ESC50_000021,ESC50,datasets\ESC50\audio\1-115920-A-22.wav,1-115920-A-22.wav,['clapping'],Speech,train,1.0
ESC50_000022,ESC50,datasets\ESC50\audio\1-115920-B-22.wav,1-115920-B-22.wav,['clapping'],Speech,train,1.0
ESC50_000023,ESC50,datasets\ESC50\audio\1-115921-A-22.wav,1-115921-A-22.wav,['clapping'],Speech,train,1.0
ESC50_000024,ESC50,datasets\ESC50\audio\1-116765-A-41.wav,1-116765-A-41.wav,['chainsaw'],Chainsaw,train,1.0
ESC50_000025,ESC50,datasets\ESC50\audio\1-11687-A-47.wav,1-11687-A-47.wav,['airplane'],Vehicle,train,1.0
ESC50_000028,ESC50,datasets\ESC50\audio\1-119125-A-45.wav,1-119125-A-45.wav,['train'],Vehicle,train,1.0
