sample_id,dataset,filepath,filename,original_label,unified_label,split,fold,processed_path,sample_rate,duration,channels
ESC50_000001,ESC50,datasets\ESC50\audio\1-100032-A-0.wav,1-100032-A-0.wav,dog,Wildlife,train,1.0,processed\audio\ESC50_000001.wav,16000,5.0,1
ESC50_000002,ESC50,datasets\ESC50\audio\1-100038-A-14.wav,1-100038-A-14.wav,chirping_birds,Bird,train,1.0,processed\audio\ESC50_000002.wav,16000,5.0,1
ESC50_000003,ESC50,datasets\ESC50\audio\1-101296-A-19.wav,1-101296-A-19.wav,thunderstorm,Thunderstorm,train,1.0,processed\audio\ESC50_000003.wav,16000,5.0,1
ESC50_000004,ESC50,datasets\ESC50\audio\1-101296-B-19.wav,1-101296-B-19.wav,thunderstorm,Thunderstorm,train,1.0,processed\audio\ESC50_000004.wav,16000,5.0,1
ESC50_000005,ESC50,datasets\ESC50\audio\1-103298-A-9.wav,1-103298-A-9.wav,crow,Bird,train,1.0,processed\audio\ESC50_000005.wav,16000,5.0,1
ESC50_000006,ESC50,datasets\ESC50\audio\1-110389-A-0.wav,1-110389-A-0.wav,dog,Wildlife,train,1.0,processed\audio\ESC50_000006.wav,16000,5.0,1
ESC50_000007,ESC50,datasets\ESC50\audio\1-115521-A-19.wav,1-115521-A-19.wav,thunderstorm,Thunderstorm,train,1.0,processed\audio\ESC50_000007.wav,16000,5.0,1
ESC50_000008,ESC50,datasets\ESC50\audio\1-116765-A-41.wav,1-116765-A-41.wav,chainsaw,Chainsaw,train,1.0,processed\audio\ESC50_000008.wav,16000,5.0,1
ESC50_000009,ESC50,datasets\ESC50\audio\1-11687-A-47.wav,1-11687-A-47.wav,airplane,Vehicle,train,1.0,processed\audio\ESC50_000009.wav,16000,5.0,1
ESC50_000010,ESC50,datasets\ESC50\audio\1-119125-A-45.wav,1-119125-A-45.wav,train,Vehicle,train,1.0,processed\audio\ESC50_000010.wav,16000,5.0,1
ESC50_000011,ESC50,datasets\ESC50\audio\1-121951-A-8.wav,1-121951-A-8.wav,sheep,Wildlife,train,1.0,processed\audio\ESC50_000011.wav,16000,5.0,1
ESC50_000012,ESC50,datasets\ESC50\audio\1-137296-A-16.wav,1-137296-A-16.wav,wind,Wind,train,1.0,processed\audio\ESC50_000012.wav,16000,5.0,1
ESC50_000013,ESC50,datasets\ESC50\audio\1-155858-A-25.wav,1-155858-A-25.wav,footsteps,Footsteps,train,1.0,processed\audio\ESC50_000013.wav,16000,5.0,1
ESC50_000014,ESC50,datasets\ESC50\audio\1-155858-B-25.wav,1-155858-B-25.wav,footsteps,Footsteps,train,1.0,processed\audio\ESC50_000014.wav,16000,5.0,1
ESC50_000015,ESC50,datasets\ESC50\audio\1-155858-C-25.wav,1-155858-C-25.wav,footsteps,Footsteps,train,1.0,processed\audio\ESC50_000015.wav,16000,5.0,1
ESC50_000016,ESC50,datasets\ESC50\audio\1-155858-D-25.wav,1-155858-D-25.wav,footsteps,Footsteps,train,1.0,processed\audio\ESC50_000016.wav,16000,5.0,1
ESC50_000017,ESC50,datasets\ESC50\audio\1-155858-E-25.wav,1-155858-E-25.wav,footsteps,Footsteps,train,1.0,processed\audio\ESC50_000017.wav,16000,5.0,1
ESC50_000018,ESC50,datasets\ESC50\audio\1-155858-F-25.wav,1-155858-F-25.wav,footsteps,Footsteps,train,1.0,processed\audio\ESC50_000018.wav,16000,5.0,1
ESC50_000019,ESC50,datasets\ESC50\audio\1-15689-A-4.wav,1-15689-A-4.wav,frog,Wildlife,train,1.0,processed\audio\ESC50_000019.wav,16000,5.0,1
ESC50_000020,ESC50,datasets\ESC50\audio\1-15689-B-4.wav,1-15689-B-4.wav,frog,Wildlife,train,1.0,processed\audio\ESC50_000020.wav,16000,5.0,1
ESC50_000021,ESC50,datasets\ESC50\audio\1-16568-A-3.wav,1-16568-A-3.wav,cow,Wildlife,train,1.0,processed\audio\ESC50_000021.wav,16000,5.0,1
ESC50_000022,ESC50,datasets\ESC50\audio\1-172649-A-40.wav,1-172649-A-40.wav,helicopter,Vehicle,train,1.0,processed\audio\ESC50_000022.wav,16000,5.0,1
ESC50_000023,ESC50,datasets\ESC50\audio\1-172649-B-40.wav,1-172649-B-40.wav,helicopter,Vehicle,train,1.0,processed\audio\ESC50_000023.wav,16000,5.0,1
ESC50_000024,ESC50,datasets\ESC50\audio\1-172649-C-40.wav,1-172649-C-40.wav,helicopter,Vehicle,train,1.0,processed\audio\ESC50_000024.wav,16000,5.0,1
ESC50_000025,ESC50,datasets\ESC50\audio\1-172649-D-40.wav,1-172649-D-40.wav,helicopter,Vehicle,train,1.0,processed\audio\ESC50_000025.wav,16000,5.0,1
