dataset,filepath,filename,original_label,split,fold,metadata
ESC50,datasets\ESC50\audio\1-100032-A-0.wav,1-100032-A-0.wav,dog,train,1,"{'target': 0, 'esc10': True, 'src_file': 100032, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-100038-A-14.wav,1-100038-A-14.wav,chirping_birds,train,1,"{'target': 14, 'esc10': False, 'src_file': 100038, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-100210-A-36.wav,1-100210-A-36.wav,vacuum_cleaner,train,1,"{'target': 36, 'esc10': False, 'src_file': 100210, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-100210-B-36.wav,1-100210-B-36.wav,vacuum_cleaner,train,1,"{'target': 36, 'esc10': False, 'src_file': 100210, 'take': 'B'}"
ESC50,datasets\ESC50\audio\1-101296-A-19.wav,1-101296-A-19.wav,thunderstorm,train,1,"{'target': 19, 'esc10': False, 'src_file': 101296, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-101296-B-19.wav,1-101296-B-19.wav,thunderstorm,train,1,"{'target': 19, 'esc10': False, 'src_file': 101296, 'take': 'B'}"
ESC50,datasets\ESC50\audio\1-101336-A-30.wav,1-101336-A-30.wav,door_wood_knock,train,1,"{'target': 30, 'esc10': False, 'src_file': 101336, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-101404-A-34.wav,1-101404-A-34.wav,can_opening,train,1,"{'target': 34, 'esc10': False, 'src_file': 101404, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-103298-A-9.wav,1-103298-A-9.wav,crow,train,1,"{'target': 9, 'esc10': False, 'src_file': 103298, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-103995-A-30.wav,1-103995-A-30.wav,door_wood_knock,train,1,"{'target': 30, 'esc10': False, 'src_file': 103995, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-103999-A-30.wav,1-103999-A-30.wav,door_wood_knock,train,1,"{'target': 30, 'esc10': False, 'src_file': 103999, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-104089-A-22.wav,1-104089-A-22.wav,clapping,train,1,"{'target': 22, 'esc10': False, 'src_file': 104089, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-104089-B-22.wav,1-104089-B-22.wav,clapping,train,1,"{'target': 22, 'esc10': False, 'src_file': 104089, 'take': 'B'}"
ESC50,datasets\ESC50\audio\1-105224-A-22.wav,1-105224-A-22.wav,clapping,train,1,"{'target': 22, 'esc10': False, 'src_file': 105224, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-110389-A-0.wav,1-110389-A-0.wav,dog,train,1,"{'target': 0, 'esc10': True, 'src_file': 110389, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-110537-A-22.wav,1-110537-A-22.wav,clapping,train,1,"{'target': 22, 'esc10': False, 'src_file': 110537, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-115521-A-19.wav,1-115521-A-19.wav,thunderstorm,train,1,"{'target': 19, 'esc10': False, 'src_file': 115521, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-115545-A-48.wav,1-115545-A-48.wav,fireworks,train,1,"{'target': 48, 'esc10': False, 'src_file': 115545, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-115545-B-48.wav,1-115545-B-48.wav,fireworks,train,1,"{'target': 48, 'esc10': False, 'src_file': 115545, 'take': 'B'}"
ESC50,datasets\ESC50\audio\1-115545-C-48.wav,1-115545-C-48.wav,fireworks,train,1,"{'target': 48, 'esc10': False, 'src_file': 115545, 'take': 'C'}"
ESC50,datasets\ESC50\audio\1-115546-A-48.wav,1-115546-A-48.wav,fireworks,train,1,"{'target': 48, 'esc10': False, 'src_file': 115546, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-115920-A-22.wav,1-115920-A-22.wav,clapping,train,1,"{'target': 22, 'esc10': False, 'src_file': 115920, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-115920-B-22.wav,1-115920-B-22.wav,clapping,train,1,"{'target': 22, 'esc10': False, 'src_file': 115920, 'take': 'B'}"
ESC50,datasets\ESC50\audio\1-115921-A-22.wav,1-115921-A-22.wav,clapping,train,1,"{'target': 22, 'esc10': False, 'src_file': 115921, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-116765-A-41.wav,1-116765-A-41.wav,chainsaw,train,1,"{'target': 41, 'esc10': True, 'src_file': 116765, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-11687-A-47.wav,1-11687-A-47.wav,airplane,train,1,"{'target': 47, 'esc10': False, 'src_file': 11687, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-118206-A-31.wav,1-118206-A-31.wav,mouse_click,train,1,"{'target': 31, 'esc10': False, 'src_file': 118206, 'take': 'A'}"
ESC50,datasets\ESC50\audio\1-118559-A-17.wav,1-118559-A-17.wav,pouring_water,train,1,"{'target': 17, 'esc10': False, 'src_file': 118559, 'take': 'A'}"
