dataset,filename,filepath,extension,duration,duration_category,samplerate,channels,format,subtype,filesize_mb,corrupted
esc50,1-100032-A-0.wav,D:\user\Workspace\Major project\AuraForest\AdaptiveEdgeAI\datasets\esc50\audio\1-100032-A-0.wav,.wav,5.0,Normal,44100,1,WAV,PCM_16,0.421,False
esc50,1-100038-A-14.wav,D:\user\Workspace\Major project\AuraForest\AdaptiveEdgeAI\datasets\esc50\audio\1-100038-A-14.wav,.wav,5.0,Normal,44100,1,WAV,PCM_16,0.421,False
esc50,1-100210-A-36.wav,D:\user\Workspace\Major project\AuraForest\AdaptiveEdgeAI\datasets\esc50\audio\1-100210-A-36.wav,.wav,5.0,Normal,44100,1,WAV,PCM_16,0.421,False
esc50,1-100210-B-36.wav,D:\user\Workspace\Major project\AuraForest\AdaptiveEdgeAI\datasets\esc50\audio\1-100210-B-36.wav,.wav,5.0,Normal,44100,1,WAV,PCM_16,0.421,False
esc50,1-101296-A-19.wav,D:\user\Workspace\Major project\AuraForest\AdaptiveEdgeAI\datasets\esc50\audio\1-101296-A-19.wav,.wav,5.0,Normal,44100,1,WAV,PCM_16,0.421,False
esc50,1-101296-B-19.wav,D:\user\Workspace\Major project\AuraForest\AdaptiveEdgeAI\datasets\esc50\audio\1-101296-B-19.wav,.wav,5.0,Normal,44100,1,WAV,PCM_16,0.421,False
esc50,1-101336-A-30.wav,D:\user\Workspace\Major project\AuraForest\AdaptiveEdgeAI\datasets\esc50\audio\1-101336-A-30.wav,.wav,5.0,Normal,44100,1,WAV,PCM_16,0.421,False
esc50,1-101404-A-34.wav,D:\user\Workspace\Major project\AuraForest\AdaptiveEdgeAI\datasets\esc50\audio\1-101404-A-34.wav,.wav,5.0,Normal,44100,1,WAV,PCM_16,0.421,False
esc50,1-103298-A-9.wav,D:\user\Workspace\Major project\AuraForest\AdaptiveEdgeAI\datasets\esc50\audio\1-103298-A-9.wav,.wav,5.0,Normal,44100,1,WAV,PCM_16,0.421,False
esc50,1-103995-A-30.wav,D:\user\Workspace\Major project\AuraForest\AdaptiveEdgeAI\datasets\esc50\audio\1-103995-A-30.wav,.wav,5.0,Normal,44100,1,WAV,PCM_16,0.421,False
esc50,1-103999-A-30.wav,D:\user\Workspace\Major project\AuraForest\AdaptiveEdgeAI\datasets\esc50\audio\1-103999-A-30.wav,.wav,5.0,Normal,44100,1,WAV,PCM_16,0.421,False
esc50,1-104089-A-22.wav,D:\user\Workspace\Major project\AuraForest\AdaptiveEdgeAI\datasets\esc50\audio\1-104089-A-22.wav,.wav,5.0,Normal,44100,1,WAV,PCM_16,0.421,False
esc50,1-104089-B-22.wav,D:\user\Workspace\Major project\AuraForest\AdaptiveEdgeAI\datasets\esc50\audio\1-104089-B-22.wav,.wav,5.0,Normal,44100,1,WAV,PCM_16,0.421,False
esc50,1-105224-A-22.wav,D:\user\Workspace\Major project\AuraForest\AdaptiveEdgeAI\datasets\esc50\audio\1-105224-A-22.wav,.wav,5.0,Normal,44100,1,WAV,PCM_16,0.421,False
esc50,1-110389-A-0.wav,D:\user\Workspace\Major project\AuraForest\AdaptiveEdgeAI\datasets\esc50\audio\1-110389-A-0.wav,.wav,5.0,Normal,44100,1,WAV,PCM_16,0.421,False
esc50,1-110537-A-22.wav,D:\user\Workspace\Major project\AuraForest\AdaptiveEdgeAI\datasets\esc50\audio\1-110537-A-22.wav,.wav,5.0,Normal,44100,1,WAV,PCM_16,0.421,False
esc50,1-115521-A-19.wav,D:\user\Workspace\Major project\AuraForest\AdaptiveEdgeAI\datasets\esc50\audio\1-115521-A-19.wav,.wav,5.0,Normal,44100,1,WAV,PCM_16,0.421,False
esc50,1-115545-A-48.wav,D:\user\Workspace\Major project\AuraForest\AdaptiveEdgeAI\datasets\esc50\audio\1-115545-A-48.wav,.wav,5.0,Normal,44100,1,WAV,PCM_16,0.421,False
esc50,1-115545-B-48.wav,D:\user\Workspace\Major project\AuraForest\AdaptiveEdgeAI\datasets\esc50\audio\1-115545-B-48.wav,.wav,5.0,Normal,44100,1,WAV,PCM_16,0.421,False
esc50,1-115545-C-48.wav,D:\user\Workspace\Major project\AuraForest\AdaptiveEdgeAI\datasets\esc50\audio\1-115545-C-48.wav,.wav,5.0,Normal,44100,1,WAV,PCM_16,0.421,False
esc50,1-115546-A-48.wav,D:\user\Workspace\Major project\AuraForest\AdaptiveEdgeAI\datasets\esc50\audio\1-115546-A-48.wav,.wav,5.0,Normal,44100,1,WAV,PCM_16,0.421,False
esc50,1-115920-A-22.wav,D:\user\Workspace\Major project\AuraForest\AdaptiveEdgeAI\datasets\esc50\audio\1-115920-A-22.wav,.wav,5.0,Normal,44100,1,WAV,PCM_16,0.421,False
esc50,1-115920-B-22.wav,D:\user\Workspace\Major project\AuraForest\AdaptiveEdgeAI\datasets\esc50\audio\1-115920-B-22.wav,.wav,5.0,Normal,44100,1,WAV,PCM_16,0.421,False
esc50,1-115921-A-22.wav,D:\user\Workspace\Major project\AuraForest\AdaptiveEdgeAI\datasets\esc50\audio\1-115921-A-22.wav,.wav,5.0,Normal,44100,1,WAV,PCM_16,0.421,False
esc50,1-116765-A-41.wav,D:\user\Workspace\Major project\AuraForest\AdaptiveEdgeAI\datasets\esc50\audio\1-116765-A-41.wav,.wav,5.0,Normal,44100,1,WAV,PCM_16,0.421,False
esc50,1-11687-A-47.wav,D:\user\Workspace\Major project\AuraForest\AdaptiveEdgeAI\datasets\esc50\audio\1-11687-A-47.wav,.wav,5.0,Normal,44100,1,WAV,PCM_16,0.421,False
esc50,1-118206-A-31.wav,D:\user\Workspace\Major project\AuraForest\AdaptiveEdgeAI\datasets\esc50\audio\1-118206-A-31.wav,.wav,5.0,Normal,44100,1,WAV,PCM_16,0.421,False
esc50,1-118559-A-17.wav,D:\user\Workspace\Major project\AuraForest\AdaptiveEdgeAI\datasets\esc50\audio\1-118559-A-17.wav,.wav,5.0,Normal,44100,1,WAV,PCM_16,0.421,False
esc50,1-119125-A-45.wav,D:\user\Workspace\Major project\AuraForest\AdaptiveEdgeAI\datasets\esc50\audio\1-119125-A-45.wav,.wav,5.0,Normal,44100,1,WAV,PCM_16,0.421,False
esc50,1-121951-A-8.wav,D:\user\Workspace\Major project\AuraForest\AdaptiveEdgeAI\datasets\esc50\audio\1-121951-A-8.wav,.wav,5.0,Normal,44100,1,WAV,PCM_16,0.421,False
esc50,1-12653-A-15.wav,D:\user\Workspace\Major project\AuraForest\AdaptiveEdgeAI\datasets\esc50\audio\1-12653-A-15.wav,.wav,5.0,Normal,44100,1,WAV,PCM_16,0.421,False
esc50,1-12654-A-15.wav,D:\user\Workspace\Major project\AuraForest\AdaptiveEdgeAI\datasets\esc50\audio\1-12654-A-15.wav,.wav,5.0,Normal,44100,1,WAV,PCM_16,0.421,False
esc50,1-12654-B-15.wav,D:\user\Workspace\Major project\AuraForest\AdaptiveEdgeAI\datasets\esc50\audio\1-12654-B-15.wav,.wav,5.0,Normal,44100,1,WAV,PCM_16,0.421,False
esc50,1-13571-A-46.wav,D:\user\Workspace\Major project\AuraForest\AdaptiveEdgeAI\datasets\esc50\audio\1-13571-A-46.wav,.wav,5.0,Normal,44100,1,WAV,PCM_16,0.421,False
esc50,1-13572-A-46.wav,D:\user\Workspace\Major project\AuraForest\AdaptiveEdgeAI\datasets\esc50\audio\1-13572-A-46.wav,.wav,5.0,Normal,44100,1,WAV,PCM_16,0.421,False
esc50,1-13613-A-37.wav,D:\user\Workspace\Major project\AuraForest\AdaptiveEdgeAI\datasets\esc50\audio\1-13613-A-37.wav,.wav,5.0,Normal,44100,1,WAV,PCM_16,0.421,False
esc50,1-137-A-32.wav,D:\user\Workspace\Major project\AuraForest\AdaptiveEdgeAI\datasets\esc50\audio\1-137-A-32.wav,.wav,5.0,Normal,44100,1,WAV,PCM_16,0.421,False
esc50,1-137296-A-16.wav,D:\user\Workspace\Major project\AuraForest\AdaptiveEdgeAI\datasets\esc50\audio\1-137296-A-16.wav,.wav,5.0,Normal,44100,1,WAV,PCM_16,0.421,False
esc50,1-14262-A-37.wav,D:\user\Workspace\Major project\AuraForest\AdaptiveEdgeAI\datasets\esc50\audio\1-14262-A-37.wav,.wav,5.0,Normal,44100,1,WAV,PCM_16,0.421,False
esc50,1-155858-A-25.wav,D:\user\Workspace\Major project\AuraForest\AdaptiveEdgeAI\datasets\esc50\audio\1-155858-A-25.wav,.wav,5.0,Normal,44100,1,WAV,PCM_16,0.421,False
esc50,1-155858-B-25.wav,D:\user\Workspace\Major project\AuraForest\AdaptiveEdgeAI\datasets\esc50\audio\1-155858-B-25.wav,.wav,5.0,Normal,44100,1,WAV,PCM_16,0.421,False
esc50,1-155858-C-25.wav,D:\user\Workspace\Major project\AuraForest\AdaptiveEdgeAI\datasets\esc50\audio\1-155858-C-25.wav,.wav,5.0,Normal,44100,1,WAV,PCM_16,0.421,False
esc50,1-155858-D-25.wav,D:\user\Workspace\Major project\AuraForest\AdaptiveEdgeAI\datasets\esc50\audio\1-155858-D-25.wav,.wav,5.0,Normal,44100,1,WAV,PCM_16,0.421,False
esc50,1-155858-E-25.wav,D:\user\Workspace\Major project\AuraForest\AdaptiveEdgeAI\datasets\esc50\audio\1-155858-E-25.wav,.wav,5.0,Normal,44100,1,WAV,PCM_16,0.421,False
esc50,1-155858-F-25.wav,D:\user\Workspace\Major project\AuraForest\AdaptiveEdgeAI\datasets\esc50\audio\1-155858-F-25.wav,.wav,5.0,Normal,44100,1,WAV,PCM_16,0.421,False
esc50,1-15689-A-4.wav,D:\user\Workspace\Major project\AuraForest\AdaptiveEdgeAI\datasets\esc50\audio\1-15689-A-4.wav,.wav,5.0,Normal,44100,1,WAV,PCM_16,0.421,False
esc50,1-15689-B-4.wav,D:\user\Workspace\Major project\AuraForest\AdaptiveEdgeAI\datasets\esc50\audio\1-15689-B-4.wav,.wav,5.0,Normal,44100,1,WAV,PCM_16,0.421,False
esc50,1-160563-A-48.wav,D:\user\Workspace\Major project\AuraForest\AdaptiveEdgeAI\datasets\esc50\audio\1-160563-A-48.wav,.wav,5.0,Normal,44100,1,WAV,PCM_16,0.421,False
esc50,1-160563-B-48.wav,D:\user\Workspace\Major project\AuraForest\AdaptiveEdgeAI\datasets\esc50\audio\1-160563-B-48.wav,.wav,5.0,Normal,44100,1,WAV,PCM_16,0.421,False
esc50,1-16568-A-3.wav,D:\user\Workspace\Major project\AuraForest\AdaptiveEdgeAI\datasets\esc50\audio\1-16568-A-3.wav,.wav,5.0,Normal,44100,1,WAV,PCM_16,0.421,False
esc50,1-16746-A-15.wav,D:\user\Workspace\Major project\AuraForest\AdaptiveEdgeAI\datasets\esc50\audio\1-16746-A-15.wav,.wav,5.0,Normal,44100,1,WAV,PCM_16,0.421,False
esc50,1-17092-A-27.wav,D:\user\Workspace\Major project\AuraForest\AdaptiveEdgeAI\datasets\esc50\audio\1-17092-A-27.wav,.wav,5.0,Normal,44100,1,WAV,PCM_16,0.421,False
